region;province;property_id;property_type;postal_code;city_name;address;price;bedroom_count;livable_surface;total_surface;build_year;garage;peb_category
Flandre;Antwerpen;LMJHR;Appartment;8620;Nieuwpoort;Albert I laan 113 / 0201;325000.0;3.0;133.0;133.0;1955.0;0;204
Flandre;Antwerpen;LLZM1;Appartment;8450;Bredene;Gentstraat 33 / B00;119900.0;2.0;64.0;64.0;1936.0;0;293
Flandre;Antwerpen;LMJ0D;Appartment;8434;Westende;Distellaan 56 / 0202;269000.0;2.0;73.0;73.0;1964.0;0;126
Flandre;Antwerpen;LMIUC;House;2560;Kessel;Meidoornlaan 22;515000.0;3.0;270.2;625.0;1978.0;1;285
Flandre;Antwerpen;KMUTX;House;3581;Beverlo;Louis Sauvestrelaan 55;195000.0;4.0;150.0;460.0;1930.0;0;492
Flandre;Antwerpen;LISYQ;Appartment;3600;Genk;Sint-Martinusplein 11 / 50;149000.0;;100.0;6214.0;1976.0;0;
Flandre;Antwerpen;LISGL;Appartment;8210;Zedelgem;Schatting 27;;;487.0;301.0;2025.0;0;
Flandre;Antwerpen;LLYW6;Appartment;2275;Gierle;Kloosterstraat 104 / 1;390000.0;1.0;123.0;123.0;2018.0;0;96
Flandre;Antwerpen;LJMT7;Appartment;8710;Ooigem;Oostrozebeeksestraat 2A;199000.0;2.0;176.0;176.0;1988.0;0;144
Flandre;Antwerpen;LM097;Appartment;9300;Aalst;Rozemarijnstraat 1 / 3.1;225000.0;1.0;81.0;81.0;1930.0;0;247
Flandre;Antwerpen;LMIW9;Appartment;3930;Hamont;Bosstraat 94;;;180.0;480.0;1994.0;0;
Flandre;Antwerpen;LLZXQ;Appartment;8430;Middelkerke;Leopoldlaan 118 / 903;109000.0;;36.0;36.0;1986.0;0;595
Flandre;Antwerpen;LI827;House;2200;Herentals;Gareelmakersstraat 58;519000.0;4.0;206.0;264.0;1961.0;1;90
Flandre;Antwerpen;LKVO1;House;3200;Aarschot;Leuvensestraat 66;270000.0;2.0;;85.0;1930.0;0;281
Flandre;Antwerpen;LK7XU;Appartment;3900;Overpelt;De Vakschool 6 / 5;;1.0;59.0;59.0;2025.0;0;
Flandre;Antwerpen;LLZOQ;Appartment;3800;Sint-Truiden;Leeuwerweg 45;149000.0;;;705.0;;0;
Flandre;Antwerpen;LLZUP;Appartment;3460;Bekkevoort;Hondstraatje 2;138000.0;;;386.9;;0;
Flandre;Antwerpen;LMK0Y;House;9550;Herzele;Presse 34;449000.0;3.0;143.0;143.0;;0;42
Flandre;Antwerpen;LLFL2;Appartment;3800;Sint-Truiden;Gorsemweg 168;305000.0;;;269.0;1980.0;0;506
Flandre;Antwerpen;LLFS3;House;8670;Oostduinkerke;Peerdehoek 5;212000.0;3.0;;232.0;1980.0;1;729
Flandre;Antwerpen;LKV3W;House;2235;Westmeerbeek;Groenstraat 28;1195000.0;4.0;267.0;1203.0;2010.0;0;86
Flandre;Antwerpen;LKW7C;Appartment;8620;Nieuwpoort;Albert I laan 37 / 03.07;625000.0;3.0;146.0;146.0;2025.0;0;
Flandre;Antwerpen;LKUKL;House;2845;Niel;Veldstraat 2;295000.0;3.0;184.0;224.0;;1;243
Flandre;Antwerpen;LJNGF;House;2360;Oud-Turnhout;Steenweg op Ravels 27;399000.0;3.0;203.0;295.0;1850.0;1;132
Flandre;Antwerpen;LMIYU;House;3520;Zonhoven;Houthalenseweg 137;299000.0;5.0;240.0;1655.0;1932.0;0;733
Flandre;Antwerpen;LLFPD;Appartment;3900;Overpelt;Gilbert Seresiaplein 7C / 1;321000.0;2.0;109.0;109.0;2025.0;0;
Flandre;Antwerpen;LIS3A;House;3550;Zolder;Kolderstraat 65;499000.0;4.0;240.0;625.0;2000.0;1;
