Code INS;Locality;Salary med/decla;Salary mean/hab;postcode
85007;Chiny;30 515;21 745;6811
85009;Etalle;36 445;26 790;6741
85011;Florenville;27 418;21 239;6820
85024;Meix-devant-Virton;31 530;22 280;6769
85026;Musson;35 492;23 586;6750
85034;Saint-Léger;35 816;25 553;6747
85039;Tintigny;33 018;23 689;6730
85045;Virton;29 807;22 164;6761
85046;Habay;35 109;25 639;6721
85047;Rouvroy;29 407;21 346;6767
90000;Province de Namur;29 216;22 867;
91000;Arrondissement de Dinant;28 305;21 788;
91005;Anhée;29 859;22 866;5537
91013;Beauraing;27 850;20 658;5570
91015;Bièvre;27 874;20 153;5555
91030;Ciney;28 775;22 351;5590
91034;Dinant;25 255;20 555;5504
91054;Gedinne;27 738;20 596;5575
91059;Hamois;33 492;23 813;5360
91064;Havelange;29 498;21 862;5376
91072;Houyet;28 357;21 515;5560
91103;Onhaye;30 249;22 474;5524
91114;Rochefort;27 802;21 197;5589
91120;Somme-Leuze;30 187;22 308;5377
91141;Yvoir;31 416;24 612;5530
91142;Hastière;24 437;19 549;5543
91143;Vresse-sur-Semois;25 260;20 580;5550
92000;Arrondissement de Namur;29 809;23 508;
92003;Andenne;28 405;21 931;5300
92006;Assesse;34 199;25 569;5330
92035;Eghezée;33 154;25 622;5310
92045;Floreffe;33 593;25 256;5150
92048;Fosses-la-Ville;30 126;22 969;5070
92054;Gesves;32 222;25 822;5340
92087;Mettet;30 902;23 555;5641
92094;Namur;28 117;22 702;5012
92097;Ohey;31 236;23 486;5350
92101;Profondeville;32 029;25 680;5170
92114;Sombreffe;32 842;24 764;5140
92137;Sambreville;27 457;20 776;5060
92138;Fernelmont;34 741;26 109;5380
92140;Jemeppe-sur-Sambre;29 815;22 628;5190
92141;La Bruyère;37 109;27 635;5081
92142;Gembloux;32 273;25 663;5032
93000;Arrondissement de Philippeville;28 203;21 592;
93010;Cerfontaine;28 589;22 257;5630
93014;Couvin;25 653;19 637;5660
93018;Doische;27 053;20 764;5680
93022;Florennes;29 064;21 666;5621
93056;Philippeville;28 173;20 953;5600
93088;Walcourt;31 329;23 761;5650
93090;Viroinval;25 116;20 088;5670
